caseID,uri,uriID,newURI
1,use://app/src/main/java/org/schabi/newpipe/info_list/InfoItemDialog.java[language=FILE]//InfoItemDialog/InfoItemDialog/bannerView.findViewById/R.id.itemAdditionalDetails[language=JAVA],0,use://app/src/main/java/org/schabi/newpipe/info_list/InfoItemDialog.java[language=FILE]//InfoItemDialog/InfoItemDialog/bannerView.findViewById/R.id.itemAdditionalContent[language=JAVA]
2,use://app/src/main/java/org/schabi/newpipe/MainActivity.java[language=FILE]//MainActivity/showTabs/drawerLayoutBinding.navigation[language=JAVA],4,use://app/src/main/java/org/schabi/newpipe/MainActivity.java[language=FILE]//MainActivity/showTabs/drawerLayoutBinding.navigation_bar[language=JAVA]
3,use://app/src/main/java/org/schabi/newpipe/fragments/detail/DescriptionFragment.java[language=FILE]//DescriptionFragment/setupUploadDate/binding.detailUploadDateView[language=JAVA],1,use://app/src/main/java/org/schabi/newpipe/fragments/detail/DescriptionFragment.java[language=FILE]//DescriptionFragment/setupUploadDate/binding.uploadDateView[language=JAVA]
4,use://app/src/main/java/org/schabi/newpipe/fragments/detail/DescriptionFragment.java[language=FILE]//DescriptionFragment/setupDescription/binding.detailSelectDescriptionButton[language=JAVA],0,use://app/src/main/java/org/schabi/newpipe/fragments/detail/DescriptionFragment.java[language=FILE]//DescriptionFragment/setupDescription/binding.detailedSelectDescriptionButton[language=JAVA]
5,def://app/src/main/res/layout/dialog_edit_text.xml[language=FILE],0,def://app/src/main/res/layout/edit_text_dialog.xml[language=FILE]
6,use://app/src/main/java/org/schabi/newpipe/settings/SelectChannelFragment.java[language=FILE]//SelectChannelFragment/onCreateView/v.findViewById/R.id.empty_state_view[language=JAVA],0,use://app/src/main/java/org/schabi/newpipe/settings/SelectChannelFragment.java[language=FILE]//SelectChannelFragment/onCreateView/v.findViewById/R.id.empty_state[language=JAVA]
7,use://app/src/main/java/org/schabi/newpipe/fragments/BaseStateFragment.java[language=FILE]//BaseStateFragment/initViews/rootView.findViewById/R.id.empty_state_view[language=JAVA],0,use://app/src/main/java/org/schabi/newpipe/fragments/BaseStateFragment.java[language=FILE]//BaseStateFragment/initViews/rootView.findViewById/R.id.empty_state[language=JAVA]
8,use://app/src/main/java/org/schabi/newpipe/settings/SelectChannelFragment.java[language=FILE]//SelectChannelFragment/onCreateView/v.findViewById/R.id.empty_state_view[language=JAVA],0,use://app/src/main/java/org/schabi/newpipe/settings/SelectChannelFragment.java[language=FILE]//SelectChannelFragment/onCreateView/v.findViewById/R.id.empty_state_views[language=JAVA]
9,def://app/src/main/res/layout/fragment_empty.xml[language=FILE]//RelativeLayout/androidx.core.widget.NestedScrollView/include/android:id[language=XML]//@+id\\/empty_state_view[language=ANY],0,def://app/src/main/res/layout/fragment_empty.xml[language=FILE]//RelativeLayout/androidx.core.widget.NestedScrollView/include/android:id[language=XML]//@+id\\/empty_state_viewGroup[language=ANY]
10,def://app/src/main/res/layout/fragment_video_detail.xml[language=FILE]//FrameLayout/androidx.coordinatorlayout.widget.CoordinatorLayout/com.google.android.material.appbar.AppBarLayout/RelativeLayout/FrameLayout/TextView/android:id[language=XML]//@+id\\/detail_video_title_view[language=ANY],0,def://app/src/main/res/layout/fragment_video_detail.xml[language=FILE]//FrameLayout/androidx.coordinatorlayout.widget.CoordinatorLayout/com.google.android.material.appbar.AppBarLayout/RelativeLayout/FrameLayout/TextView/android:id[language=XML]//@+id\\/detailed_video_title_view[language=ANY]
11,use://app/src/main/java/org/schabi/newpipe/player/Player.java[language=FILE]//Player/showOrHideButtons/binding.queueButton[language=JAVA],0,use://app/src/main/java/org/schabi/newpipe/player/Player.java[language=FILE]//Player/showOrHideButtons/binding.queueBtn[language=JAVA]
12,def://app/src/main/res/layout/list_radio_icon_item.xml[language=FILE],0,def://app/src/main/res/layout/radio_icon_list_item.xml[language=FILE]